Angle of knee (shin-thigh) joint.,Angle between thighs.,Angle of ankle (toe-heel-shin) joint.,Angle of ear-hip line with the x-axis.,Angle of ear-nose line with the x-axis.,frame
"[171, 177]",19,"[116, 87]",82,36,2
"[161, 150]",22,"[2, 88]",317,266,3
"[179, 176]",38,"[143, 48]",92,292,4
"[174, 167]",24,"[179, 161]",85,277,5
"[177, 166]",23,"[77, 169]",79,263,6
"[172, 178]",7,"[169, 168]",75,88,7
"[112, 175]",65,"[139, 145]",83,259,8
"[116, 22]",82,"[126, 127]",50,130,9
"[90, 168]",3,"[89, 103]",102,77,10
"[122, 174]",1,"[95, 97]",96,75,11
"[149, 178]",29,"[125, 133]",101,82,14
"[110, 173]",130,"[49, 165]",272,113,15
"[171, 171]",47,"[160, 103]",89,301,16
"[177, 172]",32,"[113, 104]",95,74,17
"[55, 4]",154,"[175, 179]",351,268,18
"[163, 52]",5,"[123, 52]",98,77,19
"[161, 110]",37,"[122, 114]",98,80,21
"[105, 147]",25,"[134, 152]",302,276,23
"[173, 100]",165,"[164, 98]",276,283,26
"[51, 164]",2,"[68, 95]",99,75,28
"[79, 161]",16,"[89, 88]",103,81,29
"[117, 157]",28,"[119, 108]",103,81,30
"[129, 167]",41,"[126, 122]",101,81,31
"[144, 161]",42,"[100, 126]",101,83,32
"[158, 123]",30,"[92, 98]",101,82,33
"[163, 83]",20,"[103, 68]",100,78,34
"[164, 67]",9,"[113, 64]",100,75,35
"[152, 50]",8,"[119, 61]",100,82,36
"[151, 61]",33,"[118, 77]",101,66,37
"[159, 101]",58,"[118, 119]",102,71,38
"[162, 119]",68,"[133, 104]",103,61,39
"[157, 125]",77,"[126, 93]",103,72,40
"[174, 162]",13,"[118, 106]",102,40,41
"[126, 160]",37,"[120, 117]",99,62,42
"[53, 152]",27,"[68, 148]",104,58,43
"[56, 128]",2,"[86, 125]",105,52,44
"[63, 160]",14,"[75, 84]",102,74,45
"[94, 164]",45,"[112, 103]",101,65,46
"[119, 175]",57,"[120, 109]",100,68,47
"[131, 164]",62,"[96, 121]",99,71,48
"[151, 119]",46,"[94, 95]",100,58,49
"[154, 93]",27,"[132, 66]",100,62,50
"[154, 54]",20,"[147, 67]",101,59,51
"[157, 40]",4,"[99, 63]",103,47,52
"[157, 55]",31,"[92, 71]",101,40,53
"[160, 92]",57,"[107, 120]",100,45,54
"[170, 105]",79,"[124, 118]",100,60,55
"[158, 123]",77,"[120, 80]",99,67,56
"[126, 156]",6,"[74, 97]",99,71,57
"[77, 153]",42,"[67, 72]",98,76,58
"[53, 168]",11,"[70, 86]",99,56,59
"[49, 161]",5,"[74, 86]",100,64,60
"[64, 158]",24,"[83, 80]",99,36,61
"[93, 162]",55,"[111, 104]",98,35,62
"[112, 170]",69,"[118, 127]",98,42,63
"[134, 153]",66,"[85, 121]",98,57,64
"[149, 115]",54,"[83, 98]",98,47,65
"[164, 72]",35,"[79, 71]",99,52,66
"[166, 48]",20,"[86, 69]",100,47,67
"[157, 43]",7,"[95, 80]",101,54,68
"[154, 66]",30,"[87, 85]",100,76,69
"[159, 88]",63,"[120, 111]",99,80,70
"[161, 123]",71,"[122, 70]",95,86,72
"[119, 149]",44,"[99, 60]",96,86,73
"[80, 163]",21,"[79, 78]",97,84,74
"[55, 170]",0,"[74, 79]",96,82,75
"[56, 162]",11,"[73, 64]",96,84,76
"[77, 155]",47,"[111, 91]",97,85,77
"[101, 163]",63,"[115, 116]",96,83,78
"[122, 169]",71,"[108, 142]",95,81,79
"[139, 154]",66,"[79, 135]",97,80,80
"[153, 111]",50,"[79, 100]",97,83,81
"[167, 62]",35,"[74, 66]",97,67,82
"[169, 37]",22,"[96, 56]",96,86,83
"[164, 31]",9,"[88, 55]",98,86,84
"[163, 124]",1,"[90, 123]",98,87,85
"[164, 100]",62,"[104, 116]",96,88,86
"[166, 117]",51,"[137, 122]",96,87,87
"[151, 150]",25,"[124, 69]",93,88,88
"[133, 168]",10,"[122, 60]",93,87,89
"[138, 167]",22,"[94, 146]",90,86,90
"[170, 163]",53,"[97, 168]",97,262,95
"[169, 178]",10,"[150, 105]",80,88,97
"[137, 168]",131,"[155, 166]",267,269,98
"[78, 123]",170,"[70, 10]",271,84,99
"[68, 18]",119,"[27, 111]",264,88,104
"[27, 171]",27,"[63, 169]",269,266,105
"[9, 46]",56,"[32, 161]",271,259,107
"[26, 2]",101,"[132, 172]",270,91,108
"[10, 2]",75,"[169, 173]",267,94,109
"[129, 44]",100,"[163, 147]",264,91,110
"[159, 168]",1,"[137, 157]",259,119,112
"[121, 39]",27,"[80, 34]",256,274,113
"[82, 165]",12,"[137, 176]",268,90,114
"[26, 6]",28,"[37, 22]",269,265,118
