Angle of elbow joint.,Angle of ankle (toe-heel-shin) joint.,Angle of shin with x-axis.,Distance between knees.,Distance of hip to heel.,Distance of hip to wrist.,frame
"[91, 125]","[116, 87]","[113, 92]",32.018,"[117.089, 101.157]","[37.037, 38.66]",2
"[178, 154]","[2, 88]","[87, 84]",49.58,"[189.064, 135.136]","[218.151, 110.656]",3
"[21, 6]","[143, 48]","[108, 87]",54.003,"[111.257, 112.429]","[19.419, 50.24]",4
"[31, 136]","[179, 161]","[110, 87]",42.931,"[143.243, 165.381]","[18.308, 60.922]",5
"[125, 144]","[77, 169]","[90, 97]",36.95,"[163.276, 142.168]","[27.465, 76.995]",6
"[172, 166]","[169, 168]","[99, 91]",14.075,"[114.367, 114.886]","[76.398, 73.67]",7
"[39, 71]","[139, 145]","[241, 102]",122.432,"[64.07, 231.293]","[28.887, 5.249]",8
"[177, 179]","[126, 127]","[283, 80]",64.07,"[30.682, 26.906]","[152.814, 157.556]",9
"[145, 159]","[89, 103]","[121, 105]",6.517,"[65.932, 94.386]","[43.055, 30.224]",10
"[127, 163]","[95, 97]","[122, 108]",2.661,"[77.382, 98.568]","[68.197, 24.968]",11
"[106, 19]","[125, 133]","[101, 106]",33.944,"[84.019, 92.105]","[54.323, 53.024]",14
"[146, 166]","[49, 165]","[278, 88]",666.206,"[552.158, 1000.666]","[624.24, 652.084]",15
"[153, 101]","[160, 103]","[113, 84]",88.39,"[164.083, 186.514]","[65.043, 85.39]",16
"[138, 148]","[113, 104]","[90, 114]",39.159,"[114.843, 88.829]","[43.72, 17.149]",17
"[70, 179]","[175, 179]","[269, 92]",68.731,"[77.966, 112.487]","[162.741, 155.759]",18
"[141, 172]","[123, 52]","[98, 253]",8.927,"[111.657, 43.655]","[5.006, 26.162]",19
"[85, 179]","[122, 114]","[100, 104]",50.496,"[104.309, 49.262]","[33.398, 8.655]",21
"[167, 144]","[134, 152]","[288, 281]",25.897,"[102.905, 131.057]","[45.568, 23.233]",23
"[125, 67]","[164, 98]","[93, 324]",373.919,"[372.162, 198.957]","[57.447, 51.466]",26
"[133, 146]","[68, 95]","[239, 104]",5.367,"[54.736, 112.243]","[41.013, 44.622]",28
"[119, 100]","[89, 88]","[115, 109]",22.045,"[49.901, 101.632]","[42.924, 50.091]",29
"[109, 38]","[119, 108]","[109, 113]",37.944,"[64.308, 99.064]","[45.265, 53.795]",30
"[110, 25]","[126, 122]","[104, 118]",47.543,"[75.089, 98.263]","[47.564, 56.073]",31
"[117, 39]","[100, 126]","[96, 114]",48.718,"[91.597, 90.336]","[45.101, 57.774]",32
"[123, 130]","[92, 98]","[90, 123]",40.958,"[105.417, 86.253]","[33.726, 45.813]",33
"[131, 151]","[103, 68]","[89, 246]",31.368,"[114.612, 73.922]","[24.519, 38.352]",34
"[133, 158]","[113, 64]","[92, 251]",15.568,"[116.136, 54.719]","[3.507, 31.284]",35
"[131, 176]","[119, 61]","[100, 251]",11.682,"[108.907, 39.565]","[17.686, 8.446]",36
"[84, 162]","[118, 77]","[104, 249]",41.424,"[100.309, 34.836]","[41.683, 44.155]",37
"[58, 112]","[118, 119]","[107, 112]",67.598,"[105.564, 50.367]","[50.473, 43.34]",38
